ID,Title,User Story,Story Points,Priority,MoSCoW,Epic,Dependencies,Tags,Sprint
BS-001,Create SharePoint Site & Lists,"As a developer, I want a SharePoint site provisioned with all required lists, columns, indexes, and views, so that the Canvas App has a data source to read from.",5,P1,Must Have,B0: Foundation,US-001,sharepoint;infrastructure,1
BS-002,Build Dataverse-to-SharePoint Sync Flows,"As a developer, I want Power Automate flows that sync data from Dataverse to SharePoint Lists, so that the read-only browser always has current data.",5,P1,Must Have,B0: Foundation,BS-001,power-automate;sync;dataverse,1
BS-003,Validate Sync & Data Integrity,"As a developer, I want to validate that all synced data in SharePoint matches Dataverse, so that we can confirm the sync mechanism works correctly before building the Canvas App.",1,P1,Must Have,B0: Foundation,BS-002,testing;sync;validation,1
BS-004,Create Canvas App with Navigation Shell,"As a user, I want to open the power1Browse app and see a navigation sidebar, so that I can access different sections of the OKR browser.",5,P1,Must Have,B1: Shell,BS-003,canvas-app;shell;navigation,2
BS-005,Implement Sprint Selector,"As a user, I want to select a sprint from a global dropdown, so that all views filter to show data for the selected time period.",3,P1,Must Have,B1: Shell,BS-004,canvas-app;shell;filtering,2
BS-006,OKR List View with Expandable Key Results,"As a user, I want to see a list of Objectives for the selected sprint with expandable Key Results, so that I can browse the OKR hierarchy.",8,P1,Must Have,B2: OKR Browser,BS-005,canvas-app;okr;gallery,3
BS-007,Filter Bar (Org Unit; Status; Owner),"As a user, I want to filter Objectives by org unit, lifecycle status, and owner, so that I can narrow down the OKR list.",5,P1,Must Have,B2: OKR Browser,BS-006,canvas-app;okr;filtering,4
BS-008,Objective Detail View,"As a user, I want to view an Objective's full details including its Key Results and metrics, so that I can understand the objective's progress and structure.",5,P1,Must Have,B2: OKR Browser,BS-006,canvas-app;okr;detail,5
BS-009,Key Result Detail with Metrics,"As a user, I want to view a Key Result's full details including its metrics, team members, and linked Objective, so that I can understand how progress is tracked.",5,P1,Must Have,B2: OKR Browser,BS-006,canvas-app;okr;detail;metrics,5
BS-010,Search Functionality,"As a user, I want to search across Objective and Key Result titles, so that I can quickly find specific OKRs.",3,P1,Must Have,B2: OKR Browser,BS-006,canvas-app;okr;search,4
BS-011,Programs Dashboard,"As a user, I want to see all programs displayed as cards on a dashboard, so that I can browse program progress at a glance.",5,P1,Must Have,B3: Programs,BS-005,canvas-app;programs;dashboard,6
BS-012,Program Detail with Linked OKRs,"As a user, I want to view a program's full details including its linked objectives, so that I can understand program scope and progress.",3,P1,Must Have,B3: Programs,BS-011,canvas-app;programs;detail,6
BS-013,Build N:N Junction Sync Flows,"As a developer, I want sync flows for the remaining junction tables, so that team assignments and user-org mappings are available in the browse app.",3,P2,Should Have,B4: Sync Enhancements,BS-002,power-automate;sync;n-n,7
BS-014,Add Last Synced Indicator,"As a user, I want to see when the data was last synced, so that I know how current the information is.",3,P2,Should Have,B4: Sync Enhancements,BS-004,canvas-app;sync;monitoring,7
BS-015,Progress Visualization (bars; badges),"As a user, I want polished progress bars and status badges, so that OKR status is immediately visually clear.",5,P2,Should Have,B5: Visual Enhancements,BS-006,canvas-app;ui;visualization,8
BS-016,Dark Mode Support,"As a user, I want the app to support a dark color scheme, so that I can use it comfortably in different lighting conditions.",3,P3,Could Have,B5: Visual Enhancements,BS-004,canvas-app;ui;theming,9
BS-017,Embedded Power BI Dashboard,"As a user, I want to see an analytics dashboard with OKR completion rates and trends, so that I can understand overall performance.",8,P2,Should Have,B6: Analytics,BS-005,power-bi;analytics;embedded,8
BS-018,Metric History View,"As a user, I want to see the history of metric value updates, so that I can track progress trends over time.",4,P2,Should Have,B6: Analytics,BS-009;BS-002,canvas-app;metrics;history,9
